state,date,confirmed,deaths,cured,daily_new_cases,totalsamples,positive,positive_test_rate,total_doses_administered,population,vaccination_rate,case_fatality_rate,risk_level
Andaman and Nicobar Islands,3/26/2020,1,0,0,1,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,3/27/2020,1,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,3/28/2020,6,0,0,5,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,3/29/2020,9,0,0,3,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,3/30/2020,9,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,3/31/2020,10,0,0,1,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/1/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/2/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/3/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/4/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/5/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/6/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/7/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/8/2020,10,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/9/2020,11,0,0,1,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/10/2020,11,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/11/2020,11,0,0,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/12/2020,11,0,10,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/13/2020,11,0,10,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/14/2020,11,0,10,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/15/2020,11,0,10,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/16/2020,11,0,10,0,,,,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/17/2020,11,0,10,0,1403,12,0.85531005,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/18/2020,12,0,11,1,1403,12,0.85531005,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/19/2020,14,0,11,2,1403,12,0.85531005,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/20/2020,15,0,11,1,1403,12,0.85531005,,380581,,0,Low Risk
Andaman and Nicobar Islands,4/21/2020,16,0,11,1,1403,12,0.85531005,,380581,,0,Low Risk
