state,date,confirmed,deaths,cured,daily_new_cases,totalsamples,positive,positive_test_rate,total_doses_administered,population,vaccination_rate,case_fatality_rate,risk_level,active_cases,day_of_week
Andaman and Nicobar Islands,17-04-2020,11,0,10,0,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,1,Friday
Andaman and Nicobar Islands,18-04-2020,12,0,11,1,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,1,Saturday
Andaman and Nicobar Islands,19-04-2020,14,0,11,2,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,3,Sunday
Andaman and Nicobar Islands,20-04-2020,15,0,11,1,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,4,Monday
Andaman and Nicobar Islands,21-04-2020,16,0,11,1,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,5,Tuesday
Andaman and Nicobar Islands,22-04-2020,17,0,11,1,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,6,Wednesday
Andaman and Nicobar Islands,23-04-2020,18,0,11,1,"1,403",12,0.86,0,"380,581",0.00,0.00,Low Risk,7,Thursday
Andaman and Nicobar Islands,24-04-2020,22,0,11,4,"2,679",27,1.01,0,"380,581",0.00,0.00,Low Risk,11,Friday
Andaman and Nicobar Islands,25-04-2020,27,0,11,5,"2,679",27,1.01,0,"380,581",0.00,0.00,Low Risk,16,Saturday
Andaman and Nicobar Islands,26-04-2020,33,0,11,6,"2,679",27,1.01,0,"380,581",0.00,0.00,Low Risk,22,Sunday
Andaman and Nicobar Islands,27-04-2020,33,0,11,0,"2,848",33,1.16,0,"380,581",0.00,0.00,Low Risk,22,Monday
Andaman and Nicobar Islands,28-04-2020,33,0,11,0,"2,848",33,1.16,0,"380,581",0.00,0.00,Low Risk,22,Tuesday
Andaman and Nicobar Islands,29-04-2020,33,0,15,0,"2,848",33,1.16,0,"380,581",0.00,0.00,Low Risk,18,Wednesday
Andaman and Nicobar Islands,30-04-2020,33,0,15,0,"2,848",33,1.16,0,"380,581",0.00,0.00,Low Risk,18,Thursday
Andaman and Nicobar Islands,01-05-2020,33,0,16,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,17,Friday
Andaman and Nicobar Islands,02-05-2020,33,0,16,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,17,Saturday
Andaman and Nicobar Islands,03-05-2020,33,0,17,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,16,Sunday
Andaman and Nicobar Islands,04-05-2020,33,0,32,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,1,Monday
Andaman and Nicobar Islands,05-05-2020,33,0,32,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,1,Tuesday
Andaman and Nicobar Islands,06-05-2020,33,0,32,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,1,Wednesday
Andaman and Nicobar Islands,07-05-2020,33,0,32,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,1,Thursday
Andaman and Nicobar Islands,08-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Friday
Andaman and Nicobar Islands,09-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Saturday
Andaman and Nicobar Islands,10-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Sunday
Andaman and Nicobar Islands,11-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Monday
Andaman and Nicobar Islands,12-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Tuesday
Andaman and Nicobar Islands,13-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Wednesday
Andaman and Nicobar Islands,14-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Thursday
Andaman and Nicobar Islands,15-05-2020,33,0,33,0,"3,754",33,0.88,0,"380,581",0.00,0.00,Low Risk,0,Friday
Andaman and Nicobar Islands,16-05-2020,33,0,33,0,"6,677",33,0.49,0,"380,581",0.00,0.00,Low Risk,0,Saturday
Andaman and Nicobar Islands,17-05-2020,33,0,33,0,"6,677",33,0.49,0,"380,581",0.00,0.00,Low Risk,0,Sunday
Andaman and Nicobar Islands,18-05-2020,33,0,33,0,"6,677",33,0.49,0,"380,581",0.00,0.00,Low Risk,0,Monday
Andaman and Nicobar Islands,19-05-2020,33,0,33,0,"6,965",33,0.47,0,"380,581",0.00,0.00,Low Risk,0,Tuesday
Andaman and Nicobar Islands,20-05-2020,33,0,33,0,"7,082",33,0.47,0,"380,581",0.00,0.00,Low Risk,0,Wednesday
Andaman and Nicobar Islands,21-05-2020,33,0,33,0,"7,167",33,0.46,0,"380,581",0.00,0.00,Low Risk,0,Thursday
Andaman and Nicobar Islands,22-05-2020,33,0,33,0,"7,263",33,0.45,0,"380,581",0.00,0.00,Low Risk,0,Friday
Andaman and Nicobar Islands,23-05-2020,33,0,33,0,"7,327",33,0.45,0,"380,581",0.00,0.00,Low Risk,0,Saturday
Andaman and Nicobar Islands,24-05-2020,33,0,33,0,"7,327",33,0.45,0,"380,581",0.00,0.00,Low Risk,0,Sunday
Andaman and Nicobar Islands,25-05-2020,33,0,33,0,"7,363",33,0.45,0,"380,581",0.00,0.00,Low Risk,0,Monday
Andaman and Nicobar Islands,26-05-2020,33,0,33,0,"7,448",33,0.44,0,"380,581",0.00,0.00,Low Risk,0,Tuesday
Andaman and Nicobar Islands,27-05-2020,33,0,33,0,"7,499",33,0.44,0,"380,581",0.00,0.00,Low Risk,0,Wednesday
Andaman and Nicobar Islands,28-05-2020,33,0,33,0,"7,519",33,0.44,0,"380,581",0.00,0.00,Low Risk,0,Thursday
Andaman and Nicobar Islands,29-05-2020,33,0,33,0,"7,567",33,0.44,0,"380,581",0.00,0.00,Low Risk,0,Friday
Andaman and Nicobar Islands,30-05-2020,33,0,33,0,"7,567",33,0.44,0,"380,581",0.00,0.00,Low Risk,0,Saturday
Andaman and Nicobar Islands,31-05-2020,33,0,33,0,"7,706",33,0.43,0,"380,581",0.00,0.00,Low Risk,0,Sunday
Andaman and Nicobar Islands,01-06-2020,33,0,33,0,"7,805",33,0.42,0,"380,581",0.00,0.00,Low Risk,0,Monday
Andaman and Nicobar Islands,02-06-2020,33,0,33,0,"8,086",33,0.41,0,"380,581",0.00,0.00,Low Risk,0,Tuesday
Andaman and Nicobar Islands,03-06-2020,33,0,33,0,"8,295",33,0.40,0,"380,581",0.00,0.00,Low Risk,0,Wednesday
Andaman and Nicobar Islands,04-06-2020,33,0,33,0,"8,413",33,0.39,0,"380,581",0.00,0.00,Low Risk,0,Thursday
Andaman and Nicobar Islands,05-06-2020,33,0,33,0,"8,694",33,0.38,0,"380,581",0.00,0.00,Low Risk,0,Friday
Andaman and Nicobar Islands,06-06-2020,33,0,33,0,"9,037",33,0.37,0,"380,581",0.00,0.00,Low Risk,0,Saturday
Andaman and Nicobar Islands,07-06-2020,33,0,33,0,"9,242",33,0.36,0,"380,581",0.00,0.00,Low Risk,0,Sunday
